,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel,labeled_league
1534,27.0,0.0,0.2,1.2,0.4,2.5,83.7,0.6,0.4,fr,1.1,1.0,24.0,1.0,1.0,2.6,0.2,SerieA,0.2,1955.0,0.0,Vincent Laurini,0.0,0.6,0.0,109062.0,D(R),83.7,35.0,6.82,0.0,0.1,1.2,173.0,Empoli,1.7,0.7,72.0,5.0,2
1544,30.0,0.0,0.2,0.5,0.1,1.9,83.0,0.7,0.3,it,0.7,0.7,13.0,0.0,6.0,1.8,0.2,SerieA,0.2,1250.0,0.0,Marco Zambelli,0.0,0.3,0.0,10760.0,D(R),83.0,32.2,6.45,0.0,0.0,1.1,180.0,Empoli,1.5,0.7,77.0,3.0,2
1569,28.0,1.0,0.3,1.0,0.4,3.3,67.8,0.3,0.5,it,0.3,1.1,14.0,0.0,4.0,1.7,0.3,SerieA,0.3,1296.0,0.0,Matteo Ciofani,0.1,0.3,0.0,79412.0,D(R),67.8,19.8,6.53,0.0,0.2,1.3,183.0,Frosinone,1.5,0.3,76.0,2.0,2
1638,35.0,0.0,0.0,0.0,1.0,0.0,82.4,1.0,2.0,gb,0.0,0.0,0.0,0.0,1.0,3.0,0.0,PremierLeague,0.0,45.0,0.0,Tony Hibbert,0.0,0.0,0.0,3030.0,D(R),82.4,17.0,6.91,0.0,1.0,1.0,175.0,Everton,1.0,0.0,71.0,0.0,3
1658,22.0,0.0,0.4,0.8,0.0,2.4,81.5,0.0,0.8,gb,0.4,0.8,3.0,0.0,2.0,1.2,0.4,PremierLeague,0.0,298.0,0.0,Tyias Browning,0.0,0.0,0.0,123138.0,D(R),81.5,18.4,6.39,0.0,0.4,1.8,181.0,Everton,0.8,0.4,76.0,1.0,3
1738,30.0,0.0,0.5,3.0,0.0,0.5,74.7,2.0,0.5,fr,0.5,1.5,2.0,0.0,0.0,1.5,0.5,PremierLeague,0.0,144.0,0.0,Mathieu Debuchy,0.0,0.0,0.0,11367.0,D(R),74.7,39.5,6.85,0.0,0.5,4.5,177.0,Arsenal,1.0,0.5,76.0,0.0,3
1759,23.0,0.0,0.4,0.9,0.1,2.2,76.9,0.7,0.4,gb,0.3,0.3,9.0,0.0,1.0,0.8,0.4,PremierLeague,0.4,824.0,0.0,Andre Wisdom,0.0,0.2,0.0,101763.0,D(R),76.9,30.8,6.52,0.0,0.2,1.9,186.0,Norwich,1.3,0.5,78.0,1.0,3
1760,26.0,0.0,0.2,0.5,0.2,2.8,74.8,0.7,0.9,pt,0.6,0.9,9.0,0.0,1.0,2.1,0.2,PremierLeague,0.8,811.0,0.0,Ivo Pinto,0.3,0.1,0.0,70598.0,D(R),74.8,30.6,6.5,0.0,0.0,1.7,184.0,Norwich,1.8,1.1,73.0,0.0,3
1828,26.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1.0,cr,1.0,1.0,0.0,0.0,1.0,2.0,0.0,PremierLeague,0.0,27.0,0.0,Cristian Gamboa,1.0,0.0,0.0,35776.0,D(R),75.0,12.0,6.27,0.0,1.0,2.0,175.0,West Bromwich Albion,0.0,1.0,67.0,1.0,3
1838,29.0,0.0,0.2,2.0,0.6,4.2,71.6,0.3,0.7,ie,0.4,1.0,30.0,0.0,0.0,3.1,0.2,PremierLeague,0.2,2613.0,1.0,Danny Simpson,0.0,0.3,0.0,23683.0,D(R),71.6,29.0,7.13,1.0,0.2,1.7,178.0,Leicester,1.8,0.4,74.0,3.0,3
1859,25.0,0.0,0.5,0.7,0.2,1.6,84.3,0.5,0.9,gb,1.6,1.1,22.0,2.0,9.0,1.4,0.5,PremierLeague,0.4,2097.0,1.0,Adam Smith,0.1,0.1,0.0,69877.0,D(R),84.3,29.4,6.87,0.0,0.5,2.3,178.0,Bournemouth,1.2,1.1,74.0,5.0,3
1887,25.0,1.0,1.0,1.8,0.3,2.0,74.0,0.7,0.3,gb,1.7,0.5,5.0,1.0,1.0,1.8,1.0,PremierLeague,1.2,458.0,0.0,Kieran Trippier,0.0,0.0,0.0,83078.0,D(R),74.0,44.2,7.26,0.0,0.3,2.3,178.0,Tottenham,1.8,1.2,71.0,1.0,3
1889,26.0,3.0,1.0,1.6,0.2,3.2,78.4,0.7,0.8,gb,0.9,0.9,33.0,1.0,0.0,2.8,1.0,PremierLeague,0.5,2943.0,1.0,Kyle Walker,0.1,0.3,1.0,69778.0,D(R),78.4,37.9,7.19,0.0,0.6,2.6,178.0,Tottenham,2.3,1.0,70.0,7.0,3
1917,28.0,1.0,0.2,0.4,0.2,2.2,67.9,0.6,0.8,cm,0.7,1.2,29.0,0.0,3.0,1.9,0.2,PremierLeague,0.4,2475.0,0.0,Nyom,0.0,0.4,0.0,91434.0,D(R),67.9,26.8,6.76,0.0,0.2,2.6,189.0,Watford,1.8,0.6,81.0,8.0,3
1972,22.0,1.0,0.5,1.0,0.6,3.9,67.6,0.3,0.6,us,0.5,0.9,21.0,0.0,2.0,1.1,0.5,PremierLeague,0.3,1813.0,0.0,DeAndre Yedlin,0.0,0.3,0.0,126958.0,D(R),67.6,22.5,6.84,0.0,0.2,1.7,173.0,Sunderland,0.9,1.0,73.0,2.0,3
1979,24.0,0.0,0.0,0.0,0.0,1.0,84.6,1.0,0.0,gb,0.0,0.0,0.0,0.0,1.0,0.0,0.0,PremierLeague,1.0,36.0,0.0,Adam Matthews,0.0,0.0,0.0,73921.0,D(R),84.6,13.0,6.65,0.0,0.0,2.0,178.0,Sunderland,0.0,1.0,71.0,0.0,3
2003,31.0,1.0,0.2,1.4,0.2,2.7,85.0,0.7,1.3,ar,0.7,1.2,12.0,0.0,1.0,1.9,0.2,PremierLeague,0.0,1062.0,0.0,Pablo Zabaleta,0.2,0.1,0.0,14244.0,D(R),85.0,44.2,6.97,0.0,0.2,3.3,174.0,Manchester City,1.0,0.4,74.0,3.0,3
2039,24.0,0.0,0.3,0.7,0.3,2.7,74.8,0.3,0.5,gb,0.2,0.7,13.0,2.0,7.0,1.0,0.3,PremierLeague,0.4,1226.0,0.0,Carl Jenkinson,0.0,0.1,1.0,91879.0,D(R),74.8,25.2,6.36,1.0,0.4,1.2,185.0,West Ham,1.5,0.6,77.0,3.0,3
