,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
1176,30.0,3.0,1.3,1.1,0.1,0.6,81.9,1.5,0.6,1.1,1.0,1.0,1.0,1.3,SerieA,0.7,Keisuke Honda,0.0,0.0,0.0,AM(CR),81.9,0.0,1.5,1.1,182.0,AC Milan,0.7,1.0,76.0,2.0
1197,28.0,1.0,1.2,0.4,0.1,0.5,86.4,1.7,0.8,1.5,2.2,1.0,0.9,1.2,SerieA,1.2,Ricardo Álvarez,0.0,0.0,0.0,AM(CR),86.4,0.0,1.1,1.2,188.0,Sampdoria,1.4,2.1,73.0,2.0
1199,25.0,3.0,1.1,0.9,0.1,0.9,85.6,1.4,1.4,1.6,2.0,0.0,1.1,1.1,SerieA,0.2,Carlos Carbonero,0.4,0.0,0.0,AM(CR),85.6,0.0,0.4,2.4,180.0,Sampdoria,1.9,1.8,77.0,3.0
1863,26.0,6.0,1.1,0.6,0.0,0.9,76.2,1.2,1.1,1.5,1.1,4.0,1.3,1.1,PremierLeague,1.2,Matt Ritchie,0.1,0.0,0.0,AM(CR),76.2,0.0,2.1,1.5,173.0,Bournemouth,2.5,1.4,70.0,5.0
2021,23.0,2.0,1.3,0.2,0.1,0.2,88.9,1.0,0.8,1.2,0.3,6.0,0.9,1.3,PremierLeague,0.5,Manuel Lanzini,0.2,0.0,0.0,AM(CR),88.9,0.0,1.8,1.3,167.0,West Ham,1.0,1.3,59.0,3.0
2126,23.0,0.0,1.1,0.0,0.1,0.2,87.0,1.2,1.0,1.2,0.1,2.0,0.4,1.1,PremierLeague,0.8,Carles Gil,0.1,0.0,0.0,AM(CR),87.0,0.0,0.7,1.0,170.0,Aston Villa,1.0,1.5,63.0,3.0
2396,20.0,5.0,0.8,0.1,0.0,0.1,78.7,1.2,0.6,1.3,0.4,3.0,0.3,0.8,LaLiga,0.4,Alen Halilovic,0.1,0.0,0.0,AM(CR),78.7,0.0,1.6,0.6,169.0,Sporting Gijon,1.9,0.6,61.0,6.0
2462,23.0,0.0,1.0,0.7,0.2,0.2,84.2,0.2,0.0,0.8,0.5,1.0,0.8,1.0,LaLiga,0.0,Rafinha,0.0,0.0,0.0,AM(CR),84.2,0.0,0.3,0.7,174.0,Barcelona,0.3,0.5,71.0,0.0
2904,27.0,5.0,1.4,0.0,0.0,0.2,79.6,1.0,0.6,0.5,1.0,2.0,0.5,1.4,Eredivisie,1.0,Jens Toornstra,0.1,0.0,0.0,AM(CR),79.6,0.0,1.5,0.9,178.0,Feyenoord,1.2,1.4,74.0,1.0
2987,23.0,2.0,1.1,0.2,0.2,0.1,79.1,3.5,0.8,2.6,1.4,4.0,0.2,1.1,Eredivisie,0.3,Brandley Kuwas,0.3,0.0,0.0,AM(CR),79.1,0.0,1.6,1.2,178.0,Excelsior,2.1,2.7,70.0,3.0
3054,23.0,10.0,2.8,0.6,0.0,0.3,71.5,3.2,1.4,2.3,1.5,17.0,0.8,2.8,Eredivisie,2.5,Hakim Ziyech,0.8,0.0,0.0,AM(CR),71.5,0.0,4.9,1.9,180.0,Twente,2.6,3.1,70.0,6.0
