,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
629,21.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,fr,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ligue1,0.0,14.0,0.0,Eddy Maanane,0.0,0.0,0.0,301059.0, Forward,60.0,5.0,6.07,0.0,0.0,0.0,0.0,Reims,0.0,0.0,0.0,0.0
657,21.0,0.0,1.0,0.0,0.0,0.0,100.0,1.0,0.0,fr,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Ligue1,0.0,9.0,0.0,Wesley Said,0.0,0.0,0.0,129819.0, Forward,100.0,3.0,6.23,0.0,0.0,0.0,171.0,Rennes,0.0,0.0,65.0,0.0
658,25.0,0.0,1.5,0.0,0.0,0.0,90.0,0.5,0.5,za,0.0,0.0,0.0,0.0,2.0,0.0,1.5,Ligue1,0.0,33.0,0.0,Kermit Erasmus,1.0,0.0,0.0,139837.0, Forward,90.0,10.0,6.2,0.0,0.0,0.0,171.0,Rennes,0.0,0.0,0.0,0.0
686,22.0,1.0,0.3,0.0,0.0,0.0,63.6,0.3,0.0,fr,1.0,0.3,0.0,0.0,3.0,0.3,0.3,Ligue1,0.0,43.0,0.0,Julien Begue,0.0,0.0,0.0,140697.0, Forward,63.6,3.7,6.33,0.0,0.7,0.0,168.0,Guingamp,0.0,0.3,60.0,1.0
714,32.0,0.0,0.0,0.0,0.0,0.0,66.7,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ligue1,0.0,25.0,0.0,Diego Gomez,0.0,0.0,0.0,299075.0, Forward,66.7,15.0,6.13,0.0,1.0,1.0,164.0,Angers,0.0,1.0,67.0,0.0
715,25.0,0.0,0.5,0.6,0.0,0.0,64.8,0.9,0.1,fr,0.6,1.0,2.0,0.0,8.0,0.2,0.5,Ligue1,0.1,244.0,0.0,Slimane Sissoko,0.5,0.0,0.0,118130.0, Forward,64.8,7.1,6.04,1.0,1.0,0.3,190.0,Angers,0.0,2.0,79.0,1.0
746,17.0,1.0,0.4,0.1,0.0,0.2,70.5,0.6,0.4,fr,0.4,0.5,2.0,1.0,9.0,0.4,0.4,Ligue1,0.3,288.0,0.0,Kylian Mbappe-Lottin,0.4,0.0,0.0,300713.0, Forward,70.5,7.1,6.34,0.0,0.5,0.6,0.0,Monaco,0.2,1.5,0.0,1.0
749,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,fr,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ligue1,0.0,10.0,0.0,Ilyes Chaibi,0.0,0.0,0.0,302496.0, Forward,100.0,3.0,5.97,0.0,0.0,0.0,0.0,Monaco,0.0,1.0,0.0,0.0
777,20.0,0.0,0.1,0.1,0.0,0.0,86.0,0.7,0.1,fr,0.2,0.1,1.0,2.0,9.0,0.3,0.1,Ligue1,0.0,190.0,0.0,Aldo Kalulu,0.2,0.0,0.0,289111.0, Forward,86.0,5.7,6.3,0.0,0.5,0.2,161.0,Lyon,0.2,0.3,57.0,0.0
778,21.0,0.0,0.0,0.3,0.0,0.0,76.9,0.7,0.7,fr,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Ligue1,0.0,23.0,0.0,Zakarie Labidi,0.0,0.0,0.0,122363.0, Forward,76.9,4.3,6.05,0.0,0.7,0.3,178.0,Lyon,0.0,1.0,71.0,0.0
803,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,fr,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Ligue1,0.0,1.0,0.0,Florian Sotoca,0.0,0.0,0.0,274934.0, Forward,100.0,2.0,6.24,0.0,1.0,1.0,187.0,Montpellier,0.0,0.0,79.0,0.0
804,22.0,0.0,0.2,0.2,0.0,0.0,69.2,1.0,0.6,fr,1.0,1.2,1.0,0.0,4.0,0.6,0.2,Ligue1,0.2,146.0,0.0,Quentin Cornette,0.2,0.0,0.0,261211.0, Forward,69.2,7.8,6.22,0.0,0.8,0.4,172.0,Montpellier,0.0,1.4,74.0,1.0
806,21.0,0.0,0.5,1.0,0.0,1.0,85.7,0.5,0.0,fr,1.0,0.0,0.0,0.0,2.0,0.0,0.5,Ligue1,0.0,37.0,0.0,Steve Mounie,0.0,0.0,0.0,135259.0, Forward,85.7,7.0,6.12,0.0,0.0,0.0,190.0,Montpellier,0.0,0.5,83.0,0.0
833,25.0,0.0,0.0,0.0,0.0,0.0,75.9,0.3,0.2,ci,0.3,0.8,0.0,1.0,6.0,0.2,0.0,Ligue1,0.0,123.0,0.0,Christian Kouakou,0.3,0.0,0.0,236554.0, Forward,75.9,4.8,6.11,0.0,0.7,0.3,182.0,Caen,0.0,0.8,72.0,1.0
859,19.0,0.0,0.3,0.0,0.0,0.0,84.2,1.0,2.0,cm,0.3,0.7,1.0,1.0,2.0,0.3,0.3,Ligue1,0.0,95.0,0.0,Alexis Alegue Elandi,0.0,0.0,0.0,298487.0, Forward,84.2,6.3,6.33,0.0,1.0,0.7,0.0,Nantes,0.0,0.7,0.0,0.0
862,21.0,0.0,0.0,1.0,0.5,0.0,66.7,0.5,1.0,fr,1.0,1.0,0.0,0.0,2.0,0.0,0.0,Ligue1,0.0,26.0,0.0,Thomas Henry,0.0,0.0,0.0,301074.0, Forward,66.7,3.0,6.07,0.0,0.0,0.0,192.0,Nantes,0.0,1.0,87.0,1.0
873,26.0,1.0,1.0,0.7,0.0,0.0,75.0,1.7,0.7,fr,0.0,0.0,1.0,1.0,2.0,0.0,1.0,Ligue1,0.0,137.0,0.0,Mickael Le Bihan,0.0,0.0,0.0,236520.0, Forward,75.0,17.3,6.91,0.0,2.3,0.3,184.0,Nice,0.0,0.3,80.0,0.0
888,21.0,0.0,0.1,1.0,0.0,0.4,75.0,0.9,0.1,fr,0.0,0.9,3.0,0.0,4.0,0.3,0.1,Ligue1,0.0,237.0,0.0,Dorian Caddy,0.0,0.0,0.0,302449.0, Forward,75.0,9.7,6.28,0.0,1.0,1.0,186.0,Nice,0.4,0.9,87.0,0.0
891,19.0,0.0,0.2,0.3,0.0,0.3,64.4,0.3,0.5,fr,0.2,1.0,0.0,0.0,6.0,0.2,0.2,Ligue1,0.0,112.0,0.0,Franck Honorat,0.0,0.0,0.0,137837.0, Forward,64.4,7.5,6.08,0.0,0.3,0.0,180.0,Nice,0.0,0.3,70.0,1.0
894,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.5,0.0,fr,0.0,0.5,0.0,0.0,2.0,0.0,0.0,Ligue1,0.0,4.0,0.0,Antony Ranieri,0.0,0.0,0.0,302321.0, Forward,100.0,0.5,5.94,0.0,0.0,0.0,165.0,Nice,0.0,0.0,64.0,1.0
920,20.0,0.0,0.3,3.3,0.0,0.8,62.1,0.8,0.3,fr,1.1,1.1,3.0,0.0,5.0,0.1,0.3,Ligue1,0.0,300.0,0.0,Sehrou Guirassy,0.6,0.0,0.0,236506.0, Forward,62.1,11.9,6.32,0.0,0.6,0.1,180.0,Lille,0.0,1.8,75.0,2.0
928,21.0,0.0,0.0,1.0,2.0,2.0,75.0,0.0,0.0,fr,0.0,1.0,1.0,0.0,0.0,5.0,0.0,Ligue1,0.0,90.0,0.0,Erwin Koffi,0.0,0.0,0.0,317658.0, Forward,75.0,48.0,7.41,0.0,0.0,1.0,0.0,Lorient,1.0,0.0,0.0,0.0
957,22.0,0.0,0.0,0.8,0.0,0.0,62.7,0.5,0.2,fr,0.8,1.0,1.0,0.0,5.0,0.7,0.0,Ligue1,0.2,151.0,0.0,Valentin Lavigne,0.2,0.0,0.0,232297.0, Forward,62.7,9.8,6.16,0.0,0.3,0.0,171.0,Lorient,0.0,1.2,72.0,0.0
986,20.0,0.0,0.0,0.0,0.0,0.3,55.6,0.3,0.0,fr,0.0,1.7,1.0,1.0,2.0,0.7,0.0,Ligue1,0.0,85.0,0.0,Antoine Rabillard,0.0,0.0,0.0,302333.0, Forward,55.6,6.0,6.31,0.0,1.0,0.0,175.0,Marseille,0.0,2.3,70.0,1.0
987,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ligue1,0.0,1.0,0.0,Jérémie Porsan-Clemente,0.0,0.0,0.0,231152.0, Forward,0.0,0.0,6.0,0.0,0.0,0.0,178.0,Marseille,0.0,0.0,74.0,0.0
1012,21.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,fr,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ligue1,0.0,13.0,0.0,Youssef Benali,0.0,0.0,0.0,243793.0, Forward,100.0,9.0,5.99,0.0,0.0,0.0,168.0,Toulouse,0.0,0.0,63.0,0.0
1039,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,fr,0.0,1.0,0.0,0.0,1.0,2.0,0.0,Ligue1,0.0,11.0,0.0,Gaetan Laborde,0.0,0.0,0.0,140051.0, Forward,0.0,2.0,6.32,0.0,1.0,0.0,181.0,Bordeaux,0.0,0.0,78.0,0.0
1162,20.0,0.0,0.3,0.8,0.0,0.0,73.7,0.5,0.5,hu,0.0,1.0,0.0,0.0,4.0,0.0,0.3,SerieA,0.0,49.0,0.0,Norbert Balogh,0.0,0.0,0.0,302485.0, Forward,73.7,4.8,5.98,0.0,0.5,0.5,197.0,Palermo,0.0,1.8,80.0,0.0
1163,20.0,0.0,0.0,0.0,0.0,0.0,91.7,0.7,0.0,it,0.0,0.3,0.0,0.0,3.0,0.3,0.0,SerieA,0.0,63.0,0.0,Antonio La Gumina,0.0,0.0,0.0,276357.0, Forward,91.7,4.0,5.92,0.0,1.0,0.0,184.0,Palermo,0.0,1.0,72.0,0.0
1224,19.0,0.0,0.0,0.5,0.0,0.3,87.5,0.5,0.0,it,0.5,0.3,0.0,0.0,4.0,0.0,0.0,SerieA,0.0,69.0,0.0,Federico Bonazzoli,0.0,0.0,0.0,149543.0, Forward,87.5,6.0,6.15,0.0,0.3,0.3,192.0,Sampdoria,0.0,0.3,84.0,0.0
1226,19.0,0.0,0.0,0.0,0.0,1.0,66.7,0.0,0.0,ve,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SerieA,0.0,4.0,0.0,Andrés Ponce,0.0,0.0,0.0,317639.0, Forward,66.7,3.0,6.03,0.0,0.0,0.0,182.0,Sampdoria,0.0,0.0,80.0,0.0
1255,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,it,1.0,0.0,0.0,0.0,2.0,0.0,0.0,SerieA,0.0,6.0,0.0,Simone Edera,0.0,0.0,0.0,251137.0, Forward,100.0,0.5,6.02,0.0,0.0,0.0,0.0,Torino,0.0,0.5,0.0,0.0
1283,17.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,SerieA,,7.0,0.0,Aaron Mattia Tabacchi,0.0,0.0,0.0,315710.0, Forward,83.3,6.0,6.16,0.0,0.0,0.0,0.0,Bologna,,1.0,0.0,0.0
1311,23.0,0.0,0.3,0.4,0.0,0.1,76.6,0.4,0.3,it,0.1,0.5,1.0,1.0,7.0,0.0,0.3,SerieA,0.0,193.0,0.0,Marcello Trotta,0.1,0.0,0.0,106522.0, Forward,76.6,5.9,6.19,0.0,1.5,0.1,187.0,Sassuolo,0.3,1.6,82.0,0.0
1340,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SerieA,0.0,1.0,0.0,Andrea Favilli,0.0,0.0,0.0,297001.0, Forward,0.0,0.0,6.0,0.0,0.0,0.0,185.0,Juventus,0.0,0.0,78.0,0.0
1362,19.0,0.0,0.2,0.7,0.0,0.3,69.2,0.5,0.2,ng,1.3,1.3,2.0,2.0,4.0,0.2,0.2,SerieA,0.0,189.0,1.0,Umar Sadiq,0.8,0.0,0.0,297546.0, Forward,69.2,6.5,6.53,0.0,0.7,0.3,185.0,Roma,0.0,1.3,75.0,0.0
1371,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it,0.0,1.0,0.0,0.0,1.0,0.0,0.0,SerieA,0.0,1.0,0.0,Marco Tumminello,1.0,0.0,0.0,300624.0, Forward,0.0,0.0,6.0,0.0,0.0,0.0,180.0,Roma,0.0,1.0,0.0,0.0
1403,22.0,0.0,0.0,0.2,0.0,0.0,81.4,0.8,0.5,it,0.7,1.0,3.0,0.0,7.0,0.1,0.0,SerieA,0.1,355.0,0.0,Gaetano Monachello,0.0,0.0,0.0,121222.0, Forward,81.4,7.0,6.15,0.0,1.5,0.4,184.0,Atalanta,0.2,1.0,79.0,2.0
