,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
845,32.0,0.0,0.1,2.1,1.0,4.9,79.4,0.3,0.7,0.4,1.0,0.0,1.9,0.1,Ligue1,0.0,Lorik Cana,0.0,0.6,1.0,D(C),79.4,0.0,0.3,1.3,186.0,Nantes,4.6,0.2,77.0,5.0
846,32.0,0.0,0.1,2.8,0.5,5.2,75.3,0.1,0.7,0.3,1.1,0.0,1.5,0.1,Ligue1,0.0,Oswaldo Vizcarrondo,0.0,0.7,0.0,D(C),75.3,0.0,0.4,1.5,191.0,Nantes,3.9,0.2,85.0,8.0
870,26.0,0.0,0.1,2.6,0.3,3.0,85.5,0.3,0.5,0.4,1.2,1.0,3.2,0.1,Ligue1,0.0,Maxime Le Marchand,0.1,0.5,0.0,D(C),85.5,1.0,0.2,1.2,185.0,Nice,3.8,0.2,77.0,5.0
885,27.0,0.0,0.7,1.3,0.3,1.0,91.2,0.0,1.0,0.0,0.7,0.0,1.0,0.7,Ligue1,0.0,Kevin Gomis,0.0,0.0,0.0,D(C),91.2,0.0,0.0,1.7,187.0,Nice,2.7,0.3,85.0,0.0
900,33.0,0.0,0.1,3.2,0.5,4.2,87.6,0.2,0.0,1.7,0.9,0.0,2.1,0.1,Ligue1,0.1,Marko Basa,0.1,0.4,0.0,D(C),87.6,0.0,0.9,0.6,190.0,Lille,2.3,0.3,86.0,1.0
901,26.0,0.0,0.0,3.7,0.2,3.7,79.2,0.1,0.5,0.5,1.6,1.0,1.8,0.0,Ligue1,0.0,Stoppila Sunzu,0.2,0.3,0.0,D(C),79.2,1.0,0.8,2.3,189.0,Lille,1.9,0.3,80.0,0.0
903,32.0,0.0,0.2,3.6,0.6,5.1,70.4,0.3,0.4,0.8,1.0,0.0,2.0,0.2,Ligue1,0.0,Renato Civelli,0.0,0.3,0.0,D(C),70.4,2.0,0.5,1.5,193.0,Lille,2.7,0.2,89.0,6.0
930,24.0,0.0,0.0,3.3,0.7,3.3,78.9,0.3,0.3,0.7,0.7,0.0,4.3,0.0,Ligue1,0.0,Yrondu Musavu-King,0.0,0.3,0.0,D(C),78.9,0.0,0.0,2.0,186.0,Lorient,1.0,0.7,81.0,0.0
932,24.0,0.0,0.1,3.1,1.3,7.2,78.2,0.5,0.7,0.5,1.2,0.0,3.5,0.1,Ligue1,0.0,Lindsay Rose,0.0,1.1,0.0,D(C),78.2,0.0,0.5,1.4,184.0,Lorient,3.3,0.1,80.0,1.0
934,26.0,0.0,0.1,1.6,0.6,5.0,87.1,0.1,0.8,0.5,0.6,4.0,2.9,0.1,Ligue1,0.0,Zargo Toure,0.0,0.9,0.0,D(C),87.1,0.0,0.4,1.1,185.0,Lorient,2.3,0.2,73.0,1.0
935,27.0,0.0,0.1,2.4,0.7,5.7,81.7,0.2,0.3,0.7,0.7,0.0,2.7,0.1,Ligue1,0.1,Lamine Koné,0.0,1.3,0.0,D(C),81.7,1.0,0.6,0.8,186.0,Lorient,2.1,0.3,83.0,3.0
964,26.0,0.0,0.1,2.6,0.4,4.4,87.4,0.2,0.4,0.9,0.9,0.0,3.4,0.1,Ligue1,0.0,Nicolas N'Koulou,0.0,0.7,1.0,D(C),87.4,1.0,0.3,1.6,180.0,Marseille,2.4,0.3,77.0,8.0
970,21.0,1.0,0.2,2.2,0.5,4.0,91.0,0.2,0.4,1.1,0.8,1.0,2.2,0.2,Ligue1,0.0,Karim Rekik,0.0,0.4,2.0,D(C),91.0,0.0,0.3,1.4,186.0,Marseille,2.3,0.2,79.0,4.0
971,30.0,0.0,0.1,1.6,0.5,3.7,87.3,0.1,0.6,0.8,0.8,1.0,3.1,0.1,Ligue1,0.0,Rolando,0.0,1.2,0.0,D(C),87.3,0.0,0.4,1.3,189.0,Marseille,4.0,0.1,77.0,4.0
984,21.0,0.0,0.1,1.5,0.0,1.0,87.3,0.1,0.3,0.1,0.5,0.0,0.8,0.1,Ligue1,0.0,Stephane Sparagna,0.0,0.0,0.0,D(C),87.3,0.0,0.3,1.3,186.0,Marseille,1.1,0.1,83.0,3.0
995,18.0,0.0,0.1,1.8,0.7,5.7,75.5,0.4,0.5,0.6,1.3,1.0,2.6,0.1,Ligue1,0.0,Issa Diop,0.1,0.6,0.0,D(C),75.5,2.0,0.2,1.5,193.0,Toulouse,2.5,0.4,84.0,4.0
1000,26.0,0.0,0.2,1.5,0.3,4.6,84.6,0.1,0.3,0.9,0.7,2.0,2.1,0.2,Ligue1,0.1,Jean-Armel Kana-Biyik,0.1,0.4,0.0,D(C),84.6,1.0,0.4,1.3,184.0,Toulouse,1.6,0.3,86.0,0.0
1007,23.0,0.0,0.0,2.5,0.6,4.7,79.4,0.1,0.4,0.9,1.1,0.0,2.1,0.0,Ligue1,0.0,Uros Spajic,0.0,0.4,0.0,D(C),79.4,1.0,0.4,1.4,186.0,Toulouse,1.9,0.2,82.0,1.0
1017,28.0,1.0,0.2,2.0,0.7,5.1,81.3,0.5,0.6,0.5,0.8,1.0,2.6,0.2,Ligue1,0.2,Nicolas Pallois,0.1,0.6,1.0,D(C),81.3,1.0,0.5,2.1,190.0,Bordeaux,4.7,0.5,85.0,3.0
1029,25.0,0.0,0.1,2.9,0.3,6.4,82.3,0.1,0.8,0.4,1.0,1.0,3.7,0.1,Ligue1,0.0,Pablo,0.0,0.3,0.0,D(C),82.3,0.0,0.4,1.3,188.0,Bordeaux,4.1,0.3,79.0,3.0
1051,29.0,0.0,0.2,2.0,0.5,4.5,88.7,0.2,0.7,0.8,1.2,0.0,2.9,0.2,SerieA,0.1,Davide Astori,0.0,1.2,0.0,D(C),88.7,0.0,0.4,1.4,188.0,Fiorentina,4.2,0.2,80.0,5.0
1053,32.0,0.0,0.2,1.5,0.5,4.3,87.1,0.2,0.7,0.9,1.0,4.0,2.5,0.2,SerieA,0.0,Gonzalo Rodríguez,0.0,1.3,0.0,D(C),87.1,0.0,0.3,1.4,182.0,Fiorentina,4.1,0.2,79.0,7.0
1075,24.0,0.0,0.0,3.0,0.0,6.5,90.4,0.0,0.5,0.5,1.5,0.0,3.0,0.0,SerieA,0.0,Stefan de Vrij,0.0,1.0,0.0,D(C),90.4,0.0,0.0,4.0,189.0,Lazio,8.0,0.0,78.0,0.0
1077,32.0,0.0,0.2,1.3,0.8,5.0,86.4,0.2,0.4,0.6,1.0,1.0,3.2,0.2,SerieA,0.0,Milan Bisevac,0.0,0.6,0.0,D(C),86.4,0.0,0.2,1.0,185.0,Lazio,4.0,0.0,85.0,0.0
1079,27.0,0.0,0.0,3.0,0.5,4.4,82.5,0.0,0.9,0.8,2.0,0.0,3.5,0.0,SerieA,0.0,Mauricio,0.0,0.5,0.0,D(C),82.5,1.0,0.4,1.8,185.0,Lazio,3.0,0.2,77.0,13.0
1083,31.0,0.0,0.2,1.4,0.7,2.5,85.4,0.2,0.7,0.5,1.9,0.0,4.0,0.2,SerieA,0.0,Santiago Gentiletti,0.1,0.6,1.0,D(C),85.4,0.0,0.5,2.4,184.0,Lazio,5.1,0.4,79.0,10.0
1087,22.0,0.0,0.0,1.4,0.5,3.4,82.9,0.2,0.3,0.4,1.1,0.0,3.2,0.0,SerieA,0.0,Wesley Hoedt,0.1,0.6,0.0,D(C),82.9,1.0,0.5,1.3,188.0,Lazio,6.1,0.2,77.0,4.0
1101,21.0,0.0,0.0,2.7,0.3,5.0,77.2,0.0,0.7,0.7,0.3,1.0,5.3,0.0,SerieA,0.0,Samir,0.0,0.7,0.0,D(C),77.2,0.0,0.7,2.7,188.0,Verona,1.7,0.0,80.0,1.0
1105,34.0,1.0,0.2,1.9,0.4,6.5,81.5,0.3,0.5,1.0,1.0,1.0,1.7,0.2,SerieA,0.0,Vangelis Moras,0.0,1.1,0.0,D(C),81.5,1.0,0.2,1.5,193.0,Verona,2.9,0.3,78.0,4.0
1109,23.0,0.0,0.2,1.3,0.7,4.6,76.7,0.0,1.0,0.7,1.1,1.0,1.8,0.2,SerieA,0.1,Matteo Bianchetti,0.0,0.9,0.0,D(C),76.7,0.0,0.3,1.9,189.0,Verona,2.7,0.2,80.0,4.0
1116,23.0,0.0,0.0,2.0,0.7,5.1,80.0,0.1,0.2,0.4,0.8,2.0,0.9,0.0,SerieA,0.0,Filip Helander,0.0,1.2,0.0,D(C),80.0,0.0,0.2,1.5,192.0,Verona,1.4,0.2,81.0,4.0
1117,37.0,0.0,0.4,0.9,0.7,3.8,80.5,0.7,0.4,0.8,0.4,0.0,2.6,0.4,SerieA,0.2,Rafael Márquez,0.0,1.0,1.0,D(C),80.5,0.0,0.6,1.0,183.0,Verona,4.1,0.1,76.0,3.0
1135,30.0,1.0,0.2,1.8,0.8,4.6,83.6,0.4,0.8,1.4,1.8,0.0,3.8,0.2,SerieA,0.0,Thiago Cionek,0.0,0.8,0.0,D(C),83.6,0.0,0.2,1.2,184.0,Palermo,3.0,0.2,81.0,2.0
1139,30.0,1.0,0.1,1.8,0.7,5.0,79.0,0.0,0.1,0.9,0.8,0.0,2.3,0.1,SerieA,0.0,Sinisa Andjelkovic,0.1,0.4,0.0,D(C),79.0,1.0,0.1,1.5,186.0,Palermo,1.5,0.2,82.0,3.0
1141,28.0,0.0,0.1,1.7,0.9,6.6,77.4,0.1,0.6,0.3,0.7,2.0,2.1,0.1,SerieA,0.0,Giancarlo Gonzalez,0.0,1.0,2.0,D(C),77.4,0.0,0.1,0.9,191.0,Palermo,4.1,0.2,84.0,11.0
1143,22.0,0.0,0.2,1.6,0.6,3.8,68.2,0.1,0.3,1.2,1.2,2.0,3.0,0.2,SerieA,0.0,Edoardo Goldaniga,0.1,0.5,0.0,D(C),68.2,0.0,0.4,1.1,193.0,Palermo,2.2,0.4,78.0,5.0
1148,33.0,0.0,0.1,0.8,0.3,2.0,83.7,0.4,0.6,0.4,1.1,0.0,2.7,0.1,SerieA,0.2,Roberto Vitiello,0.0,0.5,1.0,D(C),83.7,1.0,0.2,1.7,177.0,Palermo,3.5,0.2,73.0,3.0
1168,34.0,1.0,0.2,3.0,0.4,5.7,87.9,0.1,0.4,0.3,1.2,3.0,2.6,0.2,SerieA,0.0,Alex,0.0,0.6,0.0,D(C),87.9,0.0,0.9,1.8,188.0,AC Milan,2.6,0.3,92.0,5.0
1171,34.0,0.0,0.2,3.0,0.4,5.2,85.2,0.0,0.2,0.2,0.8,1.0,1.2,0.2,SerieA,0.0,Philippe Mexes,0.0,1.0,0.0,D(C),85.2,0.0,1.0,1.8,187.0,AC Milan,4.2,0.8,82.0,4.0
1173,29.0,0.0,0.1,1.9,1.0,5.2,82.4,0.2,0.3,0.8,1.2,1.0,2.6,0.1,SerieA,0.0,Cristian Zapata,0.1,1.1,0.0,D(C),82.4,0.0,0.2,1.5,186.0,AC Milan,2.9,0.4,78.0,3.0
1205,28.0,0.0,0.4,2.4,1.0,5.4,85.0,0.1,0.6,1.1,1.1,0.0,2.4,0.4,SerieA,0.0,Andrea Ranocchia,0.0,0.8,0.0,D(C),85.0,1.0,0.6,1.5,196.0,Sampdoria,3.8,0.4,81.0,5.0
1211,30.0,0.0,0.3,1.0,0.5,4.9,86.1,0.1,0.5,0.5,0.8,0.0,1.6,0.3,SerieA,0.0,Niklas Moisander,0.0,0.2,1.0,D(C),86.1,1.0,0.1,1.1,182.0,Sampdoria,3.1,0.2,75.0,4.0
1214,31.0,0.0,0.0,1.0,0.9,4.8,85.1,0.0,0.4,0.6,1.1,0.0,1.2,0.0,SerieA,0.0,Matías Silvestre,0.0,0.6,0.0,D(C),85.1,0.0,0.2,1.1,184.0,Sampdoria,3.0,0.0,83.0,7.0
1223,31.0,0.0,0.0,0.5,0.3,1.8,85.7,0.0,0.0,0.3,0.5,0.0,1.0,0.0,SerieA,0.0,Andrea Coda,0.0,0.0,0.0,D(C),85.7,0.0,0.0,1.0,188.0,Sampdoria,1.8,0.0,81.0,1.0
1232,28.0,0.0,0.1,1.8,0.5,6.4,88.9,0.2,0.5,1.6,1.6,0.0,2.7,0.1,SerieA,0.0,Kamil Glik,0.0,0.3,0.0,D(C),88.9,0.0,0.6,1.4,190.0,Torino,4.2,0.2,79.0,11.0
1234,25.0,0.0,0.3,0.9,1.1,4.6,93.3,0.0,0.1,0.3,0.6,1.0,1.7,0.3,SerieA,0.0,Pontus Jansson,0.0,0.6,0.0,D(C),93.3,0.0,0.9,0.7,194.0,Torino,1.9,0.4,89.0,1.0
1240,33.0,0.0,0.6,1.1,0.4,3.2,83.5,0.0,0.5,0.2,1.6,2.0,2.0,0.6,SerieA,0.4,Cesare Bovo,0.0,0.0,0.0,D(C),83.5,0.0,0.5,1.5,181.0,Torino,8.0,0.1,75.0,10.0
1258,33.0,0.0,0.1,1.5,0.4,4.6,,0.4,0.9,0.4,0.9,0.0,3.2,0.1,SerieA,,Domenico Maietta,0.1,1.2,0.0,D(C),84.8,0.0,0.1,2.1,185.0,Bologna,,0.3,77.0,4.0
1259,32.0,2.0,0.2,2.5,0.6,4.8,,0.1,0.7,0.9,1.3,1.0,3.2,0.2,SerieA,,Daniele Gastaldello,0.0,0.6,0.0,D(C),82.7,1.0,0.3,1.5,185.0,Bologna,,0.5,77.0,7.0
